,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
2937,1,2,3,3,2,2,4,8,2,7,6,6,13,1,10,14,6,2,16
2938,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
2939,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
2940,0,0,0,4,3,1,2,6,0,8,0,8,6,12,2,2,5,0,14
2941,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2942,1,2,3,3,2,2,4,8,2,7,6,6,13,1,10,14,6,11,2
2943,0,0,0,4,4,6,6,6,6,8,0,8,6,12,2,2,5,0,14
2944,0,2,3,1,0,5,1,8,2,7,6,6,13,1,10,14,6,11,2
2945,1,2,3,3,2,2,4,8,2,7,6,6,13,1,10,14,2,2,2
2946,0,0,3,1,0,5,1,3,3,1,2,12,1,2,0,5,11,10,6
2947,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2948,1,1,1,3,2,3,5,4,7,5,1,1,10,6,1,11,3,17,15
2949,0,0,0,4,4,6,6,6,6,3,8,9,4,14,15,9,9,5,9
2950,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,11,2,17,8
2951,0,2,3,3,3,1,2,0,0,2,7,2,7,8,13,0,12,3,16
2952,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,9,0,8,9
2953,1,1,1,3,2,2,4,4,7,5,1,1,3,4,5,3,17,17,13
2954,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
2955,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,18
2956,1,2,1,3,2,2,4,8,2,7,6,6,3,4,4,8,2,2,8
2957,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2958,1,1,2,2,5,4,3,1,1,4,5,10,9,13,9,6,1,6,3
2959,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
2960,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2961,1,2,1,3,2,2,4,4,7,5,1,1,3,4,5,3,17,2,13
2962,1,1,1,3,2,2,4,4,7,5,1,1,3,4,5,3,2,2,13
2963,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,3,4,15
2964,1,1,1,2,5,4,3,1,1,4,4,10,9,13,9,6,1,6,3
2965,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2966,1,1,1,3,2,2,4,4,7,5,1,1,3,4,5,3,2,17,13
2967,1,1,2,2,5,0,0,2,4,6,11,5,10,6,1,7,14,18,5
2968,1,1,2,2,5,0,0,4,7,5,1,1,10,6,1,7,14,18,5
2969,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,2,16,8
2970,1,1,2,2,5,0,0,2,4,2,7,7,2,10,6,13,14,14,5
2971,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,1,16,4,0
2972,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2973,1,1,2,2,5,0,0,2,1,4,5,7,2,10,6,7,14,14,5
2974,1,1,2,2,5,0,0,4,7,5,1,1,10,6,1,7,3,18,15
2975,1,1,1,0,1,4,3,1,8,0,4,4,5,5,8,16,8,15,4
2976,0,0,0,4,4,6,6,6,6,3,8,9,4,9,7,15,0,8,1
2977,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,7,14,18,5
2978,0,0,0,4,4,6,6,6,6,8,0,8,6,12,2,2,5,0,14
2979,0,0,0,4,3,1,2,0,0,8,0,8,6,12,2,2,5,0,14
2980,1,1,2,3,2,2,4,4,7,5,1,1,3,4,5,3,17,7,13
2981,1,1,1,0,1,3,5,5,5,9,9,3,0,3,3,11,3,17,15
2982,1,1,1,0,1,4,3,1,8,0,4,4,5,5,4,8,8,16,8
2983,1,1,2,2,5,0,0,2,1,4,5,10,9,13,9,6,1,6,3
2984,1,1,2,2,5,0,0,2,4,6,11,5,12,0,14,4,7,1,19
