,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
218,0,1,1,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
219,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
220,0,1,2,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
221,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
222,0,0,2,4,4,0,4,5,5,0,11,4,11,0,0,16,15,13,8
223,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
224,1,2,2,4,4,3,4,8,0,1,2,8,11,14,8,16,15,13,8
225,0,0,2,2,5,4,0,4,8,8,7,0,2,5,3,8,8,11,18
226,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,8,1
227,0,1,1,2,5,5,1,6,2,6,5,3,13,7,15,11,6,8,19
228,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
229,0,0,2,2,5,4,0,4,8,6,7,0,2,5,3,8,8,11,18
230,1,2,2,2,4,4,0,4,3,8,3,10,10,13,8,7,16,18,5
231,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,12
232,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
233,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
234,1,2,3,0,0,1,2,7,3,5,9,7,9,11,8,6,9,9,2
235,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
236,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
237,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
238,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,12,12,3,4
239,1,2,3,0,0,3,4,0,6,1,2,8,5,14,4,14,1,1,12
240,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
241,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
242,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
243,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
244,1,2,3,0,4,3,4,7,3,5,9,7,9,6,8,6,9,12,1
245,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
246,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
247,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,3,7,0,3
248,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
249,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
250,0,1,2,2,5,5,1,6,2,3,10,3,6,6,8,2,5,12,1
251,1,2,2,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
252,0,1,1,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
253,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
254,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
255,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
256,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
257,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
258,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
259,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
260,0,0,0,4,2,0,5,5,5,0,11,4,0,0,0,5,0,10,10
261,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
262,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,16,15,13,8
263,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
