,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
3104,0,1,1,0,3,4,7,5,5,5,4,7,0,9,2,0,1,2,18
3105,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3106,0,1,1,0,3,2,0,4,7,4,3,6,12,13,12,8,2,7,5
3107,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3108,0,1,3,4,0,5,1,0,9,10,0,9,10,9,8,10,15,4,17
3109,1,2,0,2,2,3,2,3,1,1,11,8,11,11,13,3,6,3,2
3110,1,0,3,1,5,0,3,1,4,8,8,11,2,7,5,4,14,8,3
3111,1,0,2,1,5,0,3,1,4,8,5,2,2,8,7,4,14,8,3
3112,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,10,15,4,4
3113,0,1,3,3,4,1,1,0,6,7,4,11,5,14,5,16,17,0,4
3114,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3115,1,0,3,4,5,0,3,1,4,8,8,11,2,7,5,4,14,8,3
3116,1,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3117,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3118,0,1,3,4,0,4,7,5,6,7,4,7,10,9,8,0,15,2,17
3119,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,12,17,10
3120,1,0,2,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3121,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3122,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3123,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3124,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,18,9
3125,0,1,1,0,3,2,5,8,2,0,7,3,4,6,3,5,4,13,1
3126,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
3127,0,1,3,4,0,5,1,0,9,7,4,7,10,9,8,0,15,2,17
3128,0,1,3,4,5,0,1,0,4,10,8,11,2,7,5,4,14,8,4
3129,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3130,1,2,0,2,2,3,2,3,1,1,11,8,3,11,13,3,6,3,2
3131,1,0,2,1,5,0,3,1,4,8,5,2,2,8,7,4,14,1,3
3132,0,1,3,4,0,5,1,0,9,10,0,9,10,9,8,10,15,4,17
3133,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3134,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3135,0,2,0,3,4,1,4,2,1,3,6,8,3,11,13,3,6,3,2
3136,0,1,1,0,3,2,0,4,7,4,3,6,12,13,9,8,7,11,8
3137,0,1,3,4,0,4,7,5,5,7,4,7,10,9,8,0,1,2,18
3138,0,1,3,4,0,5,1,0,9,10,0,9,10,5,8,10,17,4,4
3139,1,0,2,1,1,6,6,6,0,6,5,2,13,8,7,1,0,17,10
3140,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3141,1,0,2,1,1,6,6,6,0,2,1,5,7,4,4,15,3,17,10
3142,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,11,3,5,7
3143,1,0,2,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3144,0,1,3,4,0,5,1,0,9,10,7,3,10,6,8,10,17,4,4
3145,0,1,3,4,0,5,1,0,9,10,8,11,2,7,5,4,17,4,4
3146,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3147,0,1,1,0,3,4,7,5,5,5,10,0,0,3,12,2,2,7,5
3148,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,4,9
3149,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,12,17,10
3150,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3151,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3152,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3153,0,1,1,0,3,4,7,5,5,5,4,7,0,3,2,0,1,2,18
3154,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,12,17,10
3155,0,1,3,3,4,1,4,2,6,7,4,4,5,1,1,6,13,6,6
3156,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3157,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,4,9
3158,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3159,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3160,0,1,3,4,0,4,7,5,6,7,4,7,10,9,8,0,1,2,18
3161,1,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3162,1,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3163,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,12,17,10
3164,1,2,3,3,5,0,3,1,4,8,8,11,2,7,5,4,14,8,3
3165,0,1,3,4,0,5,1,0,9,10,0,9,10,9,8,10,15,4,17
3166,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3167,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,4,9
3168,0,1,3,4,0,5,1,0,9,7,4,7,10,9,8,10,15,4,17
3169,1,2,0,2,2,3,2,3,1,3,11,8,3,11,13,3,6,3,2
3170,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3171,0,1,3,4,0,5,5,8,2,0,7,3,4,6,3,5,4,13,1
3172,0,1,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3173,1,0,2,1,1,6,6,6,0,2,1,10,7,4,4,15,12,17,10
3174,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,17,4,4
3175,1,2,0,3,2,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3176,0,1,1,3,4,1,4,2,7,4,6,4,12,13,9,6,7,11,8
3177,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
